City ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cidreira,-30.1811,-50.2056,294.16,65,{'all': 49},1.7,BR,1633529591
1,Shache,38.4167,77.2406,289.24,33,{'all': 3},0.83,CN,1633529591
2,Saint Paul Harbor,57.79,-152.4072,280.44,93,{'all': 100},3.21,US,1633529592
3,Mar del Plata,-38.0023,-57.5575,284.33,65,{'all': 40},10.73,AR,1633529351
4,Manuk Mangkaw,4.8,119.85,302.25,75,{'all': 45},5.1,PH,1633529592
5,Hobart,-42.8794,147.3294,285.07,69,{'all': 90},2.24,AU,1633529407
6,New Norfolk,-42.7826,147.0587,284.87,67,{'all': 100},0.45,AU,1633529592
7,Rawson,-43.3002,-65.1023,283.76,30,{'all': 0},3.51,AR,1633529593
8,Agutaya,11.148,120.9417,301.78,75,{'all': 100},4.73,PH,1633529593
9,Punta Arenas,-53.15,-70.9167,283.21,57,{'all': 40},10.8,CL,1633529593
10,Kapaa,22.0752,-159.319,298.21,80,{'all': 1},0.89,US,1633529474
11,Avera,33.194,-82.5271,297.08,93,{'all': 84},3.37,US,1633529594
12,Tuktoyaktuk,69.4541,-133.0374,270.51,85,{'all': 96},6.07,CA,1633529594
13,Kerema,-7.9631,145.7785,298.93,87,{'all': 100},0.06,PG,1633529595
14,Ushuaia,-54.8,-68.3,280.96,66,{'all': 40},3.6,AR,1633529595
15,Bilma,18.6853,12.9164,308.69,9,{'all': 0},1.2,NE,1633529595
16,Saint-Philippe,-21.3585,55.7679,297.92,84,{'all': 58},1.44,RE,1633529596
17,Bianzhuang,34.8486,118.0447,290.31,80,{'all': 96},6.08,CN,1633529596
18,Zhireken,52.8249,117.3076,273.26,96,{'all': 92},0.55,RU,1633529597
19,Necochea,-38.5473,-58.7368,283.73,69,{'all': 100},9.49,AR,1633529597
20,Arona,28.0996,-16.681,296.1,58,{'all': 20},1.79,ES,1633529597
21,Teluk Nibung,3.001,99.8164,298.88,89,{'all': 97},4.34,ID,1633529598
22,Porto-Novo,6.4965,2.6036,302.8,67,{'all': 87},4.4,BJ,1633529413
23,Mizdah,31.4451,12.9801,305.8,17,{'all': 0},2.93,LY,1633529598
24,Kota Bharu,6.1333,102.2386,298.8,83,{'all': 100},4.31,MY,1633529599
25,Yangi Marg`ilon,40.4272,71.7189,286.83,76,{'all': 75},2.06,UZ,1633529476
26,East London,-33.0153,27.9116,293.25,73,{'all': 68},9.63,ZA,1633529599
27,Albany,42.6001,-73.9662,290.61,95,{'all': 17},1.53,US,1633529599
28,Vaini,-21.2,-175.2,296.24,88,{'all': 75},3.09,TO,1633529471
29,Rikitea,-23.1203,-134.9692,296.04,80,{'all': 100},8.15,PF,1633529600
30,Port Alfred,-33.5906,26.891,292.96,76,{'all': 50},10.75,ZA,1633529600
31,Carnarvon,-24.8667,113.6333,291.19,72,{'all': 0},10.29,AU,1633529475
32,Bambous Virieux,-20.3428,57.7575,296.6,88,{'all': 75},3.6,MU,1633529601
33,Bilibino,68.0546,166.4372,255.97,99,{'all': 98},0.72,RU,1633529519
34,Shizuishan,39.2333,106.7694,285.78,59,{'all': 5},4.04,CN,1633529601
35,Goderich,43.7501,-81.7165,291.43,82,{'all': 0},3.66,CA,1633529536
36,Kruisfontein,-34.0033,24.7314,294.75,59,{'all': 0},7.15,ZA,1633529602
37,Hong Kong,22.2855,114.1577,304.38,78,{'all': 27},0.45,HK,1633529600
38,Margate,51.3813,1.3862,290.91,65,{'all': 81},2.24,GB,1633529602
39,Nelson Bay,-32.7167,152.15,288.15,66,{'all': 5},3.9,AU,1633529603
40,Dongsheng,39.8161,109.9776,279.77,81,{'all': 5},1.62,CN,1633529603
41,Castro,-24.7911,-50.0119,296.91,63,{'all': 76},0.51,BR,1633529499
42,Ribeira Grande,38.5167,-28.7,297.37,88,{'all': 40},5.66,PT,1633529500
43,Puerto Madero,14.7208,-92.4215,301.26,83,{'all': 75},0.0,MX,1633529603
44,Petropavlovsk-Kamchatskiy,53.0452,158.6483,273.8,70,{'all': 0},4.51,RU,1633529547
45,Hokitika,-42.7167,170.9667,285.42,94,{'all': 87},2.07,NZ,1633529604
46,Kulhudhuffushi,6.6221,73.07,300.9,79,{'all': 100},8.0,MV,1633529604
47,Cap Malheureux,-19.9842,57.6142,296.74,73,{'all': 19},1.79,MU,1633529605
48,Nuuk,64.1835,-51.7216,276.49,70,{'all': 75},3.6,GL,1633529553
49,Kristinehamn,59.3098,14.1081,288.14,89,{'all': 100},4.43,SE,1633529605
50,Busselton,-33.65,115.3333,281.53,70,{'all': 100},3.02,AU,1633529605
51,Atuona,-9.8,-139.0333,298.92,80,{'all': 89},10.77,PF,1633529463
52,Constitución,-35.3333,-72.4167,287.77,44,{'all': 0},1.97,CL,1633529456
53,Dondaicha,21.3333,74.5667,302.76,70,{'all': 97},3.51,IN,1633529606
54,Ukiah,39.1502,-123.2078,286.69,87,{'all': 1},0.0,US,1633529606
55,Arraial do Cabo,-22.9661,-42.0278,297.07,73,{'all': 40},6.17,BR,1633529607
56,Pouembout,-21.1333,164.9,293.11,82,{'all': 0},2.24,NC,1633529607
57,Guerrero Negro,27.9769,-114.0611,293.5,77,{'all': 0},6.21,MX,1633529607
58,Yanam,16.7333,82.2167,301.37,89,{'all': 32},1.65,IN,1633529607
59,Port Elizabeth,-33.918,25.5701,295.98,82,{'all': 40},8.75,ZA,1633529608
60,Salinópolis,-0.6136,-47.3561,303.38,63,{'all': 99},5.41,BR,1633529608
61,Azare,11.6765,10.1948,309.59,17,{'all': 96},4.38,NG,1633529608
62,Oktyabr'skoye,43.0645,44.7417,280.23,100,{'all': 90},4.0,RU,1633529609
63,Bredasdorp,-34.5322,20.0403,296.64,62,{'all': 0},7.77,ZA,1633529609
64,Dikson,73.5069,80.5464,274.23,99,{'all': 100},3.12,RU,1633529462
65,Upernavik,72.7868,-56.1549,273.02,52,{'all': 100},2.05,GL,1633529610
66,Yellowknife,62.456,-114.3525,275.6,100,{'all': 90},2.57,CA,1633529788
67,Dunedin,-45.8742,170.5036,284.31,93,{'all': 100},2.66,NZ,1633529610
68,Tramandaí,-29.9847,-50.1336,293.91,65,{'all': 43},1.17,BR,1633529611
69,Cairns,-16.9167,145.7667,297.12,89,{'all': 75},1.54,AU,1633529559
70,Harper,4.375,-7.7169,300.57,76,{'all': 30},4.61,LR,1633529611
71,Bluff,-46.6,168.3333,284.71,93,{'all': 19},0.12,NZ,1633529457
72,Kharp,66.8014,65.8081,279.02,87,{'all': 100},8.61,RU,1633529611
73,Borogontsy,62.6683,131.1683,272.34,87,{'all': 87},2.68,RU,1633529537
74,Lüderitz,-26.6481,15.1594,293.17,51,{'all': 0},3.16,NA,1633529612
75,Tessalit,20.1986,1.0114,311.87,7,{'all': 5},3.75,ML,1633529612
76,Abu Samrah,35.3029,37.1841,298.08,16,{'all': 0},1.92,SY,1633529613
77,Chui,-33.6971,-53.4616,291.33,55,{'all': 5},3.35,UY,1633529613
78,Hilo,19.7297,-155.09,295.82,90,{'all': 90},2.57,US,1633529456
79,Shakawe,-18.3667,21.85,305.14,28,{'all': 99},3.05,BW,1633529614
80,Jamestown,42.097,-79.2353,293.87,88,{'all': 75},3.09,US,1633529614
81,Guasdualito,7.2424,-70.7324,300.51,79,{'all': 100},2.63,VE,1633529614
82,Coquimbo,-29.9533,-71.3436,286.0,82,{'all': 90},3.09,CL,1633529615
83,Lagoa,39.05,-27.9833,295.0,90,{'all': 9},8.74,PT,1633529615
84,Ostrovnoy,68.0531,39.5131,283.12,84,{'all': 100},10.49,RU,1633529615
85,Neuquén,-38.9516,-68.0591,283.09,37,{'all': 0},2.57,AR,1633529616
86,Kumul,42.8,93.45,290.15,22,{'all': 66},3.28,CN,1633529533
87,Saskylakh,71.9167,114.0833,269.3,97,{'all': 100},4.45,RU,1633529534
88,Ossora,59.2353,163.0719,274.81,66,{'all': 100},3.01,RU,1633529616
89,Qaanaaq,77.484,-69.3632,266.59,70,{'all': 1},3.59,GL,1633529617
90,Thompson,55.7435,-97.8558,279.99,51,{'all': 52},3.68,CA,1633529482
91,Pevek,69.7008,170.3133,270.24,83,{'all': 100},8.13,RU,1633529617
92,Clyde River,70.4692,-68.5914,273.99,99,{'all': 100},4.02,CA,1633529617
